,,,,2-step,3-step,4-step,5-step,6-step,7-step,8-step,9-step,10-step
MSFT,American,290,0.75,25.937309001593256,28.918227975922978,26.610803813157222,28.01601588656854,26.730601992813956,27.742100387334027,26.85792289134491,27.548362413729066,26.885291670146792
MSFT,European,290,1.0,25.464562344218894,31.006440549904873,27.035644843074845,29.94063715929693,27.570117206504097,29.484613439852772,27.831396211052493,29.23213363408172,27.983479368985357
MSFT,American,290,1.0,28.90636482775031,32.13922545281686,29.606546909703763,31.238111277091857,29.707592814324578,30.87408919820793,29.881559158359394,30.708735568068498,29.943778569190908
MSFT,European,310,0.25,30.83433047225203,28.274619603139985,30.268623229660108,28.989535241199373,29.859302872114245,29.436152350229467,29.56682501772944,29.59279637435925,29.346570282521423
MSFT,American,310,0.25,31.787549068898173,29.410071096032333,30.982352965946557,30.086552519230555,30.54817830509238,30.344616331116548,30.247112616182473,30.412010145643166,30.079027652717112
MSFT,European,310,0.5,34.969854559881036,33.80876229351554,34.794384627411446,33.02317076749772,34.528325406536474,32.72471993749761,34.31035753830741,33.234518640698134,34.135896274681734
MSFT,American,310,0.5,36.85284703965961,34.7128837986388,36.20299109504223,34.500639229411206,35.833673413943764,34.55197477549943,35.556948684537495,34.859464269898666,35.38937180309622
MSFT,European,310,0.75,37.656202767757335,37.548045121631034,37.78151393040567,36.60920729574293,37.62642753962389,36.20780595290227,37.466395386280176,35.98563522581833,37.327652570419076
MSFT,American,310,0.75,40.44755791003513,38.60231228511297,39.86801039373738,38.38847092222462,39.584465541562004,38.24693522698711,39.309413406805504,38.17028992079406,39.16673868547473
MSFT,European,310,1.0,39.59617852583374,40.35624497560561,39.97533120752233,39.29860841821139,39.914259283930356,38.84601180875727,39.803451529975234,38.59541425402546,39.69512863601633
MSFT,American,310,1.0,43.275346697884565,41.70649243972467,42.72353686495323,41.45852953520436,42.536406522808555,41.319372766564264,42.25159573263591,41.170712574238365,42.13287348938643
MSFT,European,330,0.25,45.58095230646743,44.82929883283443,43.7774320588961,44.98521168788358,44.345699446722314,44.65471357176187,44.69504634147948,44.26799143705324,44.75510616445774
MSFT,American,330,0.25,46.59566887709074,46.52558312464539,45.55223162543396,46.31307501603922,45.98597044548735,45.94564181555675,46.12402759457963,45.75722962462705,46.11024736891467
MSFT,European,330,0.5,49.50399673903355,45.96901965548356,48.10557894888395,47.44403666223211,47.22858969558057,47.72994019742202,46.628950166118436,47.7018647445366,46.80626835445535
MSFT,American,330,0.5,51.508472604604286,49.32562332939599,49.94438566377256,49.75169286800378,49.24218869909805,49.88359862443798,49.04444413347636,49.81294529610263,49.30611686972723
MSFT,European,330,0.75,51.98636424766515,47.03919962042119,50.90410783593217,48.79133329553919,50.14575210406223,49.56164039470248,49.60882964945627,49.81391788446595,49.206328563028016
